issue type,summary,description,priority,parent,reporter
Story,Track Real-Time Order Status,"As a user, I want to track the status of my current order in real-time so that I know when it will be ready.

Gherkin scenarios cover order status updates and status change notifications. Acceptance criteria include order status tracker with stages (Received, Preparing, Ready, Delivered/Picked Up), real-time updates (via polling or WebSocket), estimated time remaining, push/SMS notifications on status change, and 'Contact Venue' button.",High,CNS-0010,Product Owner
Story,Reorder Previous Orders,"As a user, I want to quickly reorder items from a previous order so that I can save time when ordering my favorites.

Gherkin scenarios cover successful reorder and unavailable item handling. Acceptance criteria include 'Reorder' button on past orders, cart population with items from selected order, venue selection (if different venue selected), unavailable item removal with notification, and price/menu change warnings.",Medium,CNS-0010,Product Owner
Story,Filter and Search Order History,"As a user, I want to filter and search my order history so that I can find specific orders easily.

Gherkin scenarios cover order filtering and order search. Acceptance criteria include filter by date range, filter by status, filter by venue, search by order number, search by item name, and combined filter/search.",Low,CNS-0010,Product Owner
Story,Cancel Order Before Preparation,"As a user, I want to cancel my order before it's prepared so that I'm not charged for something I no longer want.

Gherkin scenarios cover successful cancellation and cancellation cutoff. Acceptance criteria include 'Cancel Order' button (if status allows), cancellation allowed only for 'Received' status, confirmation modal, full refund processing, cancellation notification to user and venue, and cancellation deadline (e.g., 2 minutes after order).",Medium,CNS-0010,Product Owner
Story,Update Personal Information,"As a user, I want to edit my personal information (name, birthday, etc.) so that my profile stays accurate.

Gherkin scenarios cover successful profile update and invalid data handling. Acceptance criteria include editable fields for first name, last name, birthday, gender, profile picture, save button, validation errors, and success confirmation.",High,CNS-0011,Product Owner
Story,Update Contact Details,"As a user, I want to update my email and phone number so that I receive notifications correctly.

Gherkin scenarios cover email update and phone update. Acceptance criteria include editable email and phone fields, OTP verification for changes, duplicate email detection, validation errors, and success confirmation.",High,CNS-0011,Product Owner
Story,Manage Birthday and Gender Information,"As a user, I want to add or update my birthday and gender so that I can receive personalized offers.

Gherkin scenarios cover birthday entry and gender selection. Acceptance criteria include birthday input (MM/DD/YYYY), gender dropdown (Male, Female, Non-binary, Prefer not to say), optional fields, privacy controls, and birthday rewards eligibility.",Medium,CNS-0011,Product Owner
Story,Manage Addresses,"As a user, I want to add, edit, and delete saved addresses so that I can quickly select delivery addresses.

Gherkin scenarios cover address addition, setting default address, and address deletion. Acceptance criteria include address list page, add new address form (street, city, state, ZIP), Google Places API integration, set default address toggle, edit/delete options, and multiple address support.",Medium,CNS-0011,Product Owner
Story,Manage Notification Preferences,"As a user, I want to control which notifications I receive so that I only get relevant updates.

Gherkin scenarios cover notification toggle and granular preferences. Acceptance criteria include notification preferences page, toggles for email, SMS, and push notifications, granular controls (order updates, promotions, rewards, account activity), save button, and default settings.",High,CNS-0011,Product Owner
Story,Manage Marketing Communication Preferences,"As a user, I want to opt in or out of marketing communications so that I control the promotional content I receive.

Gherkin scenarios cover marketing opt-out and opt-in. Acceptance criteria include marketing preferences page, toggle for marketing emails, toggle for SMS marketing, unsubscribe link in emails, opt-out persistence, and GDPR/CCPA compliance.",Medium,CNS-0011,Product Owner
Story,Manage Privacy Settings,"As a user, I want to control my privacy settings (data sharing, ad preferences) so that I protect my personal information.

Gherkin scenarios cover privacy settings display and data sharing toggle. Acceptance criteria include privacy settings page, data sharing toggle (analytics, third-party), ad personalization toggle, privacy policy link, save button, and GDPR/CCPA compliance.",High,CNS-0011,Product Owner
Story,Manage Consent Preferences,"As a user, I want to manage my consent preferences (cookies, analytics, etc.) so that I have control over how my data is used.

Gherkin scenarios cover consent management and granular consent controls. Acceptance criteria include consent management page, granular consent toggles (essential, functional, analytics, advertising), consent timestamp logging, re-consent on policy changes, and cookie consent banner integration.",High,CNS-0011,Product Owner
Story,Validate Profile Data,"As a system administrator, I want to validate user profile data to ensure data integrity and prevent errors.

Acceptance criteria include client-side validation for all input fields, server-side validation, error messages for invalid data, real-time validation feedback, and data format requirements (e.g., email format, phone format).",Medium,CNS-0011,Product Owner
Story,Add New Payment Method,"As a user, I want to add new payment methods securely so I can easily make purchases without re-entering details every time.

Gherkin scenarios cover successful credit card addition and invalid credit card rejection. Acceptance criteria include secure payment form (Stripe Elements), card number, expiry, CVV, cardholder name inputs, PCI compliance, card validation, 'Save as default' option, and success confirmation.",Critical,CNS-0012,Product Owner
Story,Set Default Payment Method,"As a user, I want to set a default payment method so that checkout is faster and more convenient.

Gherkin scenarios cover setting default payment and changing default payment. Acceptance criteria include default payment toggle on payment cards, visual indicator for default payment, automatic default selection at checkout, and Stripe customer default update.",Medium,CNS-0012,Product Owner
Story,Update Payment Method Details,"As a user, I want to update payment method details (expiry date, billing address) so that my payment information stays current.

Gherkin scenarios cover expiry date update and billing address update. Acceptance criteria include editable expiry date field, billing address edit form, Stripe PaymentMethod update, validation errors, and success confirmation.",High,CNS-0012,Product Owner
Story,View Payment History,"As a user, I want to view a history of my payments so that I can track my transactions and identify any discrepancies.

Gherkin scenarios cover transaction history display and filtering. Acceptance criteria include payment history page, chronological transaction list (date, amount, payment method, status), filter by date range, filter by status, search by transaction ID, and receipt download.",Medium,CNS-0012,Product Owner
Story,Ensure PCI Compliance,"As a system administrator, I want to ensure PCI compliance for all payment processing so that we protect user payment data.

Acceptance criteria include Stripe PCI Level 1 compliance, no raw card data storage, tokenized payment methods, secure HTTPS, regular security audits, and compliance documentation.",Critical,CNS-0012,Product Owner
Story,View Order Details,"As a user, I want to view complete details of a past order so that I can remember what I ordered and review the order.

Gherkin scenarios cover order detail view and receipt download. Acceptance criteria include order detail page with order number, date/time, venue, item list (name, quantity, price), subtotal, taxes, fees, total, payment method, delivery/pickup info, and receipt download button.",High,CNS-0013,Product Owner
Story,Track Order Status in Real-Time,"As a user, I want to see real-time updates on my order status so that I know when it will be ready for pickup or delivery.

Gherkin scenarios cover real-time status updates and notification on status change. Acceptance criteria include order status timeline (Received, Preparing, Ready, Out for Delivery, Completed), real-time updates (polling or WebSocket), estimated time remaining, and push/SMS notifications.",High,CNS-0013,Product Owner
Story,Reorder from Order History,"As a user, I want to quickly reorder from my order history so that I can easily get my favorite items again.

Gherkin scenarios cover successful reorder and handling unavailable items. Acceptance criteria include 'Reorder' button on order history, cart auto-population with order items, venue verification, unavailable item notification, and price change warnings.",Medium,CNS-0013,Product Owner
Story,Filter Orders by Date Range,"As a user, I want to filter my orders by date range so that I can find orders from specific time periods.

Gherkin scenarios cover date range filtering and preset date ranges. Acceptance criteria include date range picker, preset ranges (Last 7 days, Last 30 days, Last 90 days), custom date range selection, and filter application.",Low,CNS-0013,Product Owner
Story,Search Orders by Venue or Item,"As a user, I want to search my orders by venue name or item name so that I can quickly find specific orders.

Gherkin scenarios cover venue search and item search. Acceptance criteria include search bar on order history page, search by venue name, search by item name, real-time search results, and search result highlighting.",Low,CNS-0013,Product Owner
Story,Track Delivery Location,"As a user who chose delivery, I want to track my delivery driver's location so that I know when my order will arrive.

Gherkin scenarios cover delivery tracking and driver arrival notification. Acceptance criteria include delivery tracking page, live map with driver location, estimated arrival time, driver name/photo (optional), and arrival notification.",Medium,CNS-0013,Product Owner
Story,Receive Order Status Notifications,"As a user, I want to receive push and email notifications for order status changes so that I stay informed about my order.

Gherkin scenarios cover push notification and email notification. Acceptance criteria include push notifications for status changes, email notifications for status changes, notification preferences support, and timely delivery of notifications.",High,CNS-0013,Product Owner
Story,Modify Order After Placement,"As a user, I want to modify my order after placement (within a time limit) so that I can fix mistakes or add items.

Gherkin scenarios cover order modification and modification cutoff. Acceptance criteria include 'Modify Order' button (if status allows), modification allowed only for 'Received' status, modification deadline (e.g., 2 minutes), updated total calculation, and venue notification.",Medium,CNS-0013,Product Owner
Story,View Spending Patterns,"As a user, I want to view my spending patterns over time so that I can understand my consumption habits and manage my budget effectively.

Gherkin scenarios cover spending graph display and category filtering. Acceptance criteria include spending chart (line/bar graph), time period selection (weekly, monthly, yearly), category breakdown, total spending display, and average spending calculation.",Medium,CNS-0014,Product Owner
Story,View Order Frequency Analytics,"As a user, I want to see how often I order and at what times so that I can understand my ordering patterns.

Gherkin scenarios cover order frequency display and peak time analysis. Acceptance criteria include order frequency metrics (orders per week/month), peak ordering times (day of week, time of day), order count chart, and frequency trends.",Medium,CNS-0014,Product Owner
Story,View Loyalty Points Metrics,"As a user, I want to see metrics about my loyalty points (earned, redeemed, trends) so that I can track my rewards progress.

Gherkin scenarios cover points metrics display and tier progression tracking. Acceptance criteria include points earned over time (chart), points redeemed breakdown, tier progression timeline, rewards value saved, and points earning trends.",Medium,CNS-0014,Product Owner
